top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge,source_file,
스포츠/레저,러닝/사이클,자전거,어린이 자전거,https://image.sivillage.com/upload/C00001/goods/org/787/230306004398787.png?RS=450&SP=1,FIRSTBIKE,퍼스트바이크 팻 에디션 라이트블루,,,,,,,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_01_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_01_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/goods/color/color_080018_210114011352.png,https://image.sivillage.com/upload/C00001/goods/color/color_110022_210114010650.png","블루,핑크,오렌지,그린",,어린이 자전거.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/889/230825006055889.jpg?RS=450&SP=1,NYLORA,VALERIO TOP BLACK,VALERIO,,,5.0,1.0,,"https://image.sivillage.com/upload/C00001/goods/color/0000455.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B8%94%EB%A3%A8.png","내츄럴 블랙,라이트블루",,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/547/230822006033547.jpg?RS=450&SP=1,NYLORA,[한혜진 착용] ADDY TOP BLUE DUSK,BLUE,,,,,,"https://image.sivillage.com/upload/C00001/goods/color/0000344.png,https://image.sivillage.com/upload/C00001/goods/color/0000455.jpg","카메오블루,내츄럴 블랙",,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/399/240730025692399.jpg?RS=450&SP=1,NYLORA,CLOVER TOP (3 COLORS),CLOVER,,,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/466/240516017118466.jpg?RS=450&SP=1,ARENA,여성 서피 그래픽 슬리브리스 S4ML1SL42YEL,S4ML1SL42YEL,,,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/918/240604019594918.jpg?RS=450&SP=1&QT=20,ARENA,[ARENA x MARITHE] 반팔티셔츠 S4MC1RT95WHT,,,,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/349/240617021598349.jpg?RS=450&SP=1&QT=20,ARENA,여성 서피 그래픽 슬리브리스 S4ML1SL42BLK,S4ML1SL42BLK,,,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/270/240604019591270.jpg?RS=450&SP=1&QT=20,ARENA,[ARENA x MARITHE] 반팔티셔츠 S4MC1RT95NVY,,,,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/032/230526005294032.jpg?RS=450&SP=1&QT=20,NIKE,[나이키] 여성 드라이핏 원 미드라이즈 3인치 2N1 쇼츠 DX6012-894,,"65,000",26%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/007/240116008156007.jpg?RS=450&SP=1&QT=20,ROXY,록시 여성 옐로우 레귤러핏 풀오버 (RE21LT210YEL),(RE21LT210YEL),"56,880",28%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/315/240516017118315.jpg?RS=450&SP=1&QT=20,ARENA,여성 무브먼트 반팔티셔츠 S4ML1RT04BLK,S4ML1RT04BLK,"31,200",20%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/343/240617021598343.jpg?RS=450&SP=1&QT=20,ARENA,여성 포커스 반팔티셔츠 S4ML1RT03BLK,S4ML1RT03BLK,"39,200",20%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/408/240527018536408.jpg?RS=450&SP=1&QT=20,ARENA,액티브 여성 슬리브리스 S4ML1SL02BLK,S4ML1SL02BLK,"43,200",20%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/031/230526005294031.jpg?RS=450&SP=1&QT=20,NIKE,[나이키] 키즈 NSW 윈드러너 후드 자켓 850443_681,,"92,400",28%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/020/230526005294020.jpg?RS=450&SP=1&QT=20,NIKE,[나이키] 키즈 NSW 윈드러너 후드 자켓 850443_410,,"92,400",28%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/004/230526005294004.jpg?RS=450&SP=1&QT=20,NIKE,[나이키] 키즈 NSW 윈드러너 후드 자켓 850443_011,,"92,400",28%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/666/240216009022666.jpg?RS=450&SP=1&QT=20,ARENA,남성 하이브리드 트레이닝 상의 S3WM1SJ08BLK,S3WM1SJ08BLK,"77,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/660/240216009022660.jpg?RS=450&SP=1&QT=20,ARENA,우븐 스트레치 상의 S3FC1SJ02BGY,S3FC1SJ02BGY,"83,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/465/230925006463465.jpg?RS=450&SP=1&QT=20,ADIDAS,아디다스 팀 조끼 프로 BIB (HP0733),,"9,000",21%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/101/240516017136101.jpg?RS=450&SP=1&QT=20,ARENA,마히나 레저 브라탑 A4BL1PN02YEL,A4BL1PN02YEL,"59,000",33%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/159/230804005904159.jpg?RS=450&SP=1&QT=20,PUMA,푸마 팀조끼 BIB 베스트 (657251-04),,"9,000",25%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/470/230925006463470.jpg?RS=450&SP=1&QT=20,ADIDAS,아디다스 팀 조끼 프로 BIB (HP0734),,"9,000",21%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/165/230804005904165.jpg?RS=450&SP=1&QT=20,PUMA,푸마 팀조끼 BIB 베스트 (657251-45),,"9,000",25%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/658/240216009022658.jpg?RS=450&SP=1&QT=20,ARENA,여성 봄버 트레이닝 상의 S3FL1SJ03BLK,S3FL1SJ03BLK,"59,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/520/240618021728520.jpg?RS=450&SP=1&QT=20,ARENA,마히나 레저 브라탑 A4BL1PN02LAV,A4BL1PN02LAV,"59,000",33%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/504/240216009023504.jpg?RS=450&SP=1&QT=20,ARENA,본딩 트리코트 트레이닝 상의 S3WC1SJ07BLK,S3WC1SJ07BLK,"71,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/254/240216009022254.jpg?RS=450&SP=1&QT=20,ARENA,여성 벨로아 트레이닝 상의 S3FL1SJ05PKG,S3FL1SJ05PKG,"59,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/161/230804005904161.jpg?RS=450&SP=1&QT=20,PUMA,푸마 팀조끼 BIB 베스트 (657251-41),,"9,000",25%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/160/230804005904160.jpg?RS=450&SP=1&QT=20,PUMA,푸마 팀조끼 BIB 베스트 (657251-40),,"9,000",25%,5.0,1.0,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/506/240216009023506.jpg?RS=450&SP=1&QT=20,ARENA,본딩 트리코트 트레이닝 상의 S3WC1SJ07DNV,,"71,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/663/240216009022663.jpg?RS=450&SP=1&QT=20,ARENA,남성 블럭형 트레이닝 상의 S3FM1SJ04CGY,S3FM1SJ04CGY,"74,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/250/240216009022250.jpg?RS=450&SP=1&QT=20,ARENA,여성 나일론 피치 트레이닝 상의 S3FL1SJ06LVD,S3FL1SJ06LVD,"59,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/248/240216009022248.jpg?RS=450&SP=1&QT=20,ARENA,여성 나일론 피치 트레이닝 상의 S3FL1SJ06BLK,S3FL1SJ06BLK,"59,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/244/240216009022244.jpg?RS=450&SP=1&QT=20,ARENA,여성 나일론 피치 트레이닝 상의 S3FL1SJ06BEG,S3FL1SJ06BEG,"59,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/656/240216009022656.jpg?RS=450&SP=1&QT=20,ARENA,여성 봄버 트레이닝 상의 S3FL1SJ03DOR,S3FL1SJ03DOR,"59,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/662/240216009022662.jpg?RS=450&SP=1&QT=20,ARENA,우븐 스트레치 상의 S3FC1SJ02BLK,S3FC1SJ02BLK,"83,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/245/240216009022245.jpg?RS=450&SP=1&QT=20,ARENA,40수 쿠션 트레이닝 상의 S3FC1SJ01CGY,S3FC1SJ01CGY,"65,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/242/240216009022242.jpg?RS=450&SP=1&QT=20,ARENA,40수 쿠션 트레이닝 상의 S3FC1SJ01BLK,S3FC1SJ01BLK,"65,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/177/231017006619177.jpg?RS=450&SP=1&QT=20,ARENA,트리코트 트레이닝복 상의 S3MC1SJ03PPL,S3MC1SJ03PPL,"59,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/175/231017006619175.jpg?RS=450&SP=1&QT=20,ARENA,트리코트 트레이닝복 상의 S3MC1SJ03LBL,S3MC1SJ03LBL,"59,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/173/231017006619173.jpg?RS=450&SP=1&QT=20,ARENA,트리코트 트레이닝복 상의 S3MC1SJ03CGY,S3MC1SJ03CGY,"59,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/893/231017006614893.jpg?RS=450&SP=1&QT=20,ARENA,폴로 티셔츠 S3MC1RP01RED,,"47,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/402/231017006615402.jpg?RS=450&SP=1&QT=20,ARENA,미모필 반팔티셔츠 S3MC1RT42BLK,S3MC1RT42BLK,"20,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/431/231017006615431.jpg?RS=450&SP=1&QT=20,ARENA,수변 티셔츠 S3MM1RT02WHT,,"31,800",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/802/240216009021802.jpg?RS=450&SP=1&QT=20,ARENA,카치온 기모 트레이닝 상의 S3WC1SJ42CGY,S3WC1SJ42CGY,"47,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/185/231017006619185.jpg?RS=450&SP=1&QT=20,ARENA,메모리 트레이닝복 상의 S3SC1SJ01OWT,,"47,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/179/231017006619179.jpg?RS=450&SP=1&QT=20,ARENA,메모리 트레이닝복 상의 S3SC1SJ01BLK,S3SC1SJ01BLK,"47,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/460/231017006615460.jpg?RS=450&SP=1&QT=20,ARENA,숏 슬리브 S3ML1RT08PPL,S3ML1RT08PPL,"29,400",40%,5.0,1.0,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/317/231017006615317.jpg?RS=450&SP=1&QT=20,ARENA,소로나 기획 티셔츠 S3MC1RT41WHT,,"20,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/832/240216009021832.jpg?RS=450&SP=1&QT=20,ARENA,코튼 스웨트 맨투맨 S3FC1PO01MGY,S3FC1PO01MGY,"47,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/121/231017006615121.jpg?RS=450&SP=1&QT=20,ARENA,나일론 반팔 티셔츠 S3MC1RT03BLK,S3MC1RT03BLK,"31,800",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/909/231017006614909.jpg?RS=450&SP=1&QT=20,ARENA,경량 소로나 S3MC1RT04BLK,S3MC1RT04BLK,"29,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/358/231017006615358.jpg?RS=450&SP=1&QT=20,ARENA,포켓라벨 티셔츠 S3MC1RT11MGY,S3MC1RT11MGY,"25,800",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/171/231017006619171.jpg?RS=450&SP=1&QT=20,ARENA,담보루 기획 트레이닝 상의 S3SC1SJ41NPK,,"39,000",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/051/231017006615051.jpg?RS=450&SP=1&QT=20,ARENA,트리코트 티셔츠 S3MC1RT01BLK,S3MC1RT01BLK,"29,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/566/240216009024566.jpg?RS=450&SP=1&QT=20,ARENA,분또 맨투맨 S3FC1PO41OWT,,"37,800",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/470/231017006615470.jpg?RS=450&SP=1&QT=20,ARENA,자가드 반팔티 S3MM1RT07BLK,S3MM1RT07BLK,"35,400",40%,5.0,1.0,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/206/231017006619206.jpg?RS=450&SP=1,ARENA,메모리 트레이닝복 상의 S3SC1SJ02OWT,,"47,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/022/231017006615022.jpg?RS=450&SP=1,ARENA,아스킨 프린트 반팔티 S3MC1RT13BLK,S3MC1RT13BLK,"28,200",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/568/240216009024568.jpg?RS=450&SP=1,ARENA,분또 맨투맨 S3FC1PO41LGY,S3FC1PO41LGY,"37,800",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/298/231017006615298.jpg?RS=450&SP=1,ARENA,소로나 기획 티셔츠 S3MC1RT41BLK,S3MC1RT41BLK,"20,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/139/231017006615139.jpg?RS=450&SP=1,ARENA,나일론 반팔 티셔츠 S3MC1RT03LKH,S3MC1RT03LKH,"31,800",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/458/231017006615458.jpg?RS=450&SP=1,ARENA,숏 슬리브 S3ML1RT08BLK,S3ML1RT08BLK,"29,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/472/231017006615472.jpg?RS=450&SP=1,ARENA,자가드 반팔티 S3MM1RT07GBK,S3MM1RT07GBK,"35,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/202/231017006619202.jpg?RS=450&SP=1,ARENA,캐치온 담보루 기획 상의 S3SC1SJ42MGY,S3SC1SJ42MGY,"39,000",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/564/240216009024564.jpg?RS=450&SP=1&QT=20,ARENA,분또 맨투맨 S3FC1PO41BLK,S3FC1PO41BLK,"37,800",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/404/231017006615404.jpg?RS=450&SP=1&QT=20,ARENA,미모필 반팔티셔츠 S3MC1RT42NPK,,"20,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/315/231017006615315.jpg?RS=450&SP=1&QT=20,ARENA,소로나 기획 티셔츠 S3MC1RT41TGR,S3MC1RT41TGR,"20,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/309/231017006615309.jpg?RS=450&SP=1&QT=20,ARENA,소로나 기획 티셔츠 S3MC1RT41CPK,,"20,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/307/231017006615307.jpg?RS=450&SP=1&QT=20,ARENA,소로나 기획 티셔츠 S3MC1RT41BLU,S3MC1RT41BLU,"20,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/049/231017006615049.jpg?RS=450&SP=1&QT=20,ARENA,아스킨 프린트 반팔티 S3MC1RT13OWT,,"28,200",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/268/231017006615268.jpg?RS=450&SP=1&QT=20,ARENA,우븐 반팔티 S3MC1RT12LKH,S3MC1RT12LKH,"44,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/800/240216009021800.jpg?RS=450&SP=1&QT=20,ARENA,카치온 기모 트레이닝 상의 S3WC1SJ42BLK,S3WC1SJ42BLK,"47,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/208/231017006615208.jpg?RS=450&SP=1&QT=20,ARENA,우븐 반팔티 S3MC1RT12BLK,S3MC1RT12BLK,"44,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/371/231017006615371.jpg?RS=450&SP=1&QT=20,ARENA,포켓라벨 티셔츠 S3MC1RT11TGR,S3MC1RT11TGR,"25,800",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/335/231017006615335.jpg?RS=450&SP=1&QT=20,ARENA,포켓라벨 티셔츠 S3MC1RT11BLK,S3MC1RT11BLK,"25,800",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/186/231017006615186.jpg?RS=450&SP=1&QT=20,ARENA,WATER 그래픽 티셔츠 S3MC1RT10YEL,S3MC1RT10YEL,"29,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/176/231017006615176.jpg?RS=450&SP=1&QT=20,ARENA,WATER 그래픽 티셔츠 S3MC1RT10WHT,,"29,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/148/231017006615148.jpg?RS=450&SP=1&QT=20,ARENA,WATER 그래픽 티셔츠 S3MC1RT10NVY,,"29,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/931/231017006614931.jpg?RS=450&SP=1&QT=20,ARENA,경량 소로나 S3MC1RT04NPK,,"29,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/319/231017006615319.jpg?RS=450&SP=1&QT=20,ARENA,나일론 반팔 티셔츠 S3MC1RT03BLU,S3MC1RT03BLU,"31,800",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/098/231017006615098.jpg?RS=450&SP=1&QT=20,ARENA,트리코트 티셔츠 S3MC1RT01NPK,,"29,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/053/231017006615053.jpg?RS=450&SP=1&QT=20,ARENA,트리코트 티셔츠 S3MC1RT01NBL,S3MC1RT01NBL,"29,400",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/189/231017006619189.jpg?RS=450&SP=1&QT=20,ARENA,캐치온 담보루 기획 상의 S3SC1SJ42BLK,S3SC1SJ42BLK,"39,000",40%,,,,,,,상의.csv,
스포츠/레저,러닝/사이클,여성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/169/231017006619169.jpg?RS=450&SP=1&QT=20,ARENA,담보루 기획 트레이닝 상의 S3SC1SJ41BLK,S3SC1SJ41BLK,"39,000",40%,,,,,,,상의.csv,
